symbol_id,gegenstand,suchbegriff_de,suchbegriff_en,status,bester_id,bester_name,bester_keywords,bester_farbig_link,bester_sw_link,bester_arasaac_link,alternative_id,alternative_name,alternative_keywords,alternative_farbig_link,alternative_sw_link,alternative_arasaac_link,api_suche_de,api_suche_en,notiz
11,Löffel,Löffel,spoon,API-Kandidat – visuell prüfen,2362,Löffel,Löffel,https://static.arasaac.org/pictograms/2362/2362_500.png,https://static.arasaac.org/pictograms/2362/2362_nocolor_500.png,https://arasaac.org/pictograms/2362,8546,Löffel,Löffel,https://static.arasaac.org/pictograms/8546/8546_500.png,https://static.arasaac.org/pictograms/8546/8546_nocolor_500.png,https://arasaac.org/pictograms/8546,https://api.arasaac.org/api/pictograms/de/search/L%C3%B6ffel,https://api.arasaac.org/api/pictograms/en/search/spoon,
12,Messer,Messer,knife,API-Kandidat – visuell prüfen,4931,Messer,Messer,https://static.arasaac.org/pictograms/4931/4931_500.png,https://static.arasaac.org/pictograms/4931/4931_nocolor_500.png,https://arasaac.org/pictograms/4931,3237,Messer,Messer,https://static.arasaac.org/pictograms/3237/3237_500.png,https://static.arasaac.org/pictograms/3237/3237_nocolor_500.png,https://arasaac.org/pictograms/3237,https://api.arasaac.org/api/pictograms/de/search/Messer,https://api.arasaac.org/api/pictograms/en/search/knife,
13,Pfanne,Pfanne,frying pan,API-Kandidat – visuell prüfen,2558,Bratpfanne,Bratpfanne | Pfanne,https://static.arasaac.org/pictograms/2558/2558_500.png,https://static.arasaac.org/pictograms/2558/2558_nocolor_500.png,https://arasaac.org/pictograms/2558,6057,Paella-Pfanne,Paella-Pfanne,https://static.arasaac.org/pictograms/6057/6057_500.png,https://static.arasaac.org/pictograms/6057/6057_nocolor_500.png,https://arasaac.org/pictograms/6057,https://api.arasaac.org/api/pictograms/de/search/Pfanne,https://api.arasaac.org/api/pictograms/en/search/frying%20pan,
14,Regenschirm,Regenschirm,umbrella,API-Kandidat – visuell prüfen,2500,Regenschirm,Regenschirm,https://static.arasaac.org/pictograms/2500/2500_500.png,https://static.arasaac.org/pictograms/2500/2500_nocolor_500.png,https://arasaac.org/pictograms/2500,37456,Regenschirm,Regenschirm,https://static.arasaac.org/pictograms/37456/37456_500.png,https://static.arasaac.org/pictograms/37456/37456_nocolor_500.png,https://arasaac.org/pictograms/37456,https://api.arasaac.org/api/pictograms/de/search/Regenschirm,https://api.arasaac.org/api/pictograms/en/search/umbrella,
15,Schere,Schere,scissors,API-Kandidat – visuell prüfen,2591,Schere,Schere,https://static.arasaac.org/pictograms/2591/2591_500.png,https://static.arasaac.org/pictograms/2591/2591_nocolor_500.png,https://arasaac.org/pictograms/2591,4964,Schere,Schere,https://static.arasaac.org/pictograms/4964/4964_500.png,https://static.arasaac.org/pictograms/4964/4964_nocolor_500.png,https://arasaac.org/pictograms/4964,https://api.arasaac.org/api/pictograms/de/search/Schere,https://api.arasaac.org/api/pictograms/en/search/scissors,
16,Schüssel,Schüssel,bowl,API-Kandidat – visuell prüfen,3257,Schüssel,Schüssel,https://static.arasaac.org/pictograms/3257/3257_500.png,https://static.arasaac.org/pictograms/3257/3257_nocolor_500.png,https://arasaac.org/pictograms/3257,24005,Schale,Schale | Schüssel,https://static.arasaac.org/pictograms/24005/24005_500.png,https://static.arasaac.org/pictograms/24005/24005_nocolor_500.png,https://arasaac.org/pictograms/24005,https://api.arasaac.org/api/pictograms/de/search/Sch%C3%BCssel,https://api.arasaac.org/api/pictograms/en/search/bowl,
17,Seife,Seife,soap,API-Kandidat – visuell prüfen,8094,Seife,Seife | Seifenspender,https://static.arasaac.org/pictograms/8094/8094_500.png,https://static.arasaac.org/pictograms/8094/8094_nocolor_500.png,https://arasaac.org/pictograms/8094,2964,Seife,Seife,https://static.arasaac.org/pictograms/2964/2964_500.png,https://static.arasaac.org/pictograms/2964/2964_nocolor_500.png,https://arasaac.org/pictograms/2964,https://api.arasaac.org/api/pictograms/de/search/Seife,https://api.arasaac.org/api/pictograms/en/search/soap,
18,Stift,Stift,pen,API-Kandidat – visuell prüfen,10313,pen,pen | fountain pen,https://static.arasaac.org/pictograms/10313/10313_500.png,https://static.arasaac.org/pictograms/10313/10313_nocolor_500.png,https://arasaac.org/pictograms/10313,23979,farmyard,farmyard | poultry yard | corral | pen,https://static.arasaac.org/pictograms/23979/23979_500.png,https://static.arasaac.org/pictograms/23979/23979_nocolor_500.png,https://arasaac.org/pictograms/23979,https://api.arasaac.org/api/pictograms/de/search/Stift,https://api.arasaac.org/api/pictograms/en/search/pen,
19,Tasse,Tasse,cup,API-Kandidat – visuell prüfen,2582,Becher,Becher | Tasse,https://static.arasaac.org/pictograms/2582/2582_500.png,https://static.arasaac.org/pictograms/2582/2582_nocolor_500.png,https://arasaac.org/pictograms/2582,9091,Tasse,Tasse | Becher,https://static.arasaac.org/pictograms/9091/9091_500.png,https://static.arasaac.org/pictograms/9091/9091_nocolor_500.png,https://arasaac.org/pictograms/9091,https://api.arasaac.org/api/pictograms/de/search/Tasse,https://api.arasaac.org/api/pictograms/en/search/cup,
20,Teller,Teller,plate,API-Kandidat – visuell prüfen,16857,Teller,Teller | Suppenteller,https://static.arasaac.org/pictograms/16857/16857_500.png,https://static.arasaac.org/pictograms/16857/16857_nocolor_500.png,https://arasaac.org/pictograms/16857,2532,Teller,Teller,https://static.arasaac.org/pictograms/2532/2532_500.png,https://static.arasaac.org/pictograms/2532/2532_nocolor_500.png,https://arasaac.org/pictograms/2532,https://api.arasaac.org/api/pictograms/de/search/Teller,https://api.arasaac.org/api/pictograms/en/search/plate,
21,Topf,Topf,pot,API-Kandidat – visuell prüfen,9086,Topf,Topf,https://static.arasaac.org/pictograms/9086/9086_500.png,https://static.arasaac.org/pictograms/9086/9086_nocolor_500.png,https://arasaac.org/pictograms/9086,3126,flowerpot,flowerpot | pot,https://static.arasaac.org/pictograms/3126/3126_500.png,https://static.arasaac.org/pictograms/3126/3126_nocolor_500.png,https://arasaac.org/pictograms/3126,https://api.arasaac.org/api/pictograms/de/search/Topf,https://api.arasaac.org/api/pictograms/en/search/pot,
22,Trinkflasche,Trinkflasche,water bottle,API-Kandidat – visuell prüfen,35607,Schnabeltasse,Schnabeltasse | Kinderbecher | Trinkflasche,https://static.arasaac.org/pictograms/35607/35607_500.png,https://static.arasaac.org/pictograms/35607/35607_nocolor_500.png,https://arasaac.org/pictograms/35607,38604,Trinkflasche,Trinkflasche | Wasserflasche | Metallflasche,https://static.arasaac.org/pictograms/38604/38604_500.png,https://static.arasaac.org/pictograms/38604/38604_nocolor_500.png,https://arasaac.org/pictograms/38604,https://api.arasaac.org/api/pictograms/de/search/Trinkflasche,https://api.arasaac.org/api/pictograms/en/search/water%20bottle,
23,Zahnbürste,Zahnbürste,toothbrush,API-Kandidat – visuell prüfen,2694,Zahnbürste,Zahnbürste | Zahnbürste,https://static.arasaac.org/pictograms/2694/2694_500.png,https://static.arasaac.org/pictograms/2694/2694_nocolor_500.png,https://arasaac.org/pictograms/2694,38813,Zahnbürste,Zahnbürste,https://static.arasaac.org/pictograms/38813/38813_500.png,https://static.arasaac.org/pictograms/38813/38813_nocolor_500.png,https://arasaac.org/pictograms/38813,https://api.arasaac.org/api/pictograms/de/search/Zahnb%C3%BCrste,https://api.arasaac.org/api/pictograms/en/search/toothbrush,
24,Bauklötze,Bauklötze,building blocks,API-Kandidat – visuell prüfen,4921,Bauklötze,Bauklötze | Psychomotorikblock,https://static.arasaac.org/pictograms/4921/4921_500.png,https://static.arasaac.org/pictograms/4921/4921_nocolor_500.png,https://arasaac.org/pictograms/4921,4930,Bauklötze,Bauklötze | Bausteine,https://static.arasaac.org/pictograms/4930/4930_500.png,https://static.arasaac.org/pictograms/4930/4930_nocolor_500.png,https://arasaac.org/pictograms/4930,https://api.arasaac.org/api/pictograms/de/search/Baukl%C3%B6tze,https://api.arasaac.org/api/pictograms/en/search/building%20blocks,
25,Computer,Computer,computer,API-Kandidat – visuell prüfen,7190,Computer,Computer | Rechner | PC,https://static.arasaac.org/pictograms/7190/7190_500.png,https://static.arasaac.org/pictograms/7190/7190_nocolor_500.png,https://arasaac.org/pictograms/7190,2487,Computer,Computer | Rechner | PC,https://static.arasaac.org/pictograms/2487/2487_500.png,https://static.arasaac.org/pictograms/2487/2487_nocolor_500.png,https://arasaac.org/pictograms/2487,https://api.arasaac.org/api/pictograms/de/search/Computer,https://api.arasaac.org/api/pictograms/en/search/computer,
26,Eimer,Eimer,bucket,API-Kandidat – visuell prüfen,2724,Eimer,Eimer | Mülleimer,https://static.arasaac.org/pictograms/2724/2724_500.png,https://static.arasaac.org/pictograms/2724/2724_nocolor_500.png,https://arasaac.org/pictograms/2724,2725,Eimer,Eimer,https://static.arasaac.org/pictograms/2725/2725_500.png,https://static.arasaac.org/pictograms/2725/2725_nocolor_500.png,https://arasaac.org/pictograms/2725,https://api.arasaac.org/api/pictograms/de/search/Eimer,https://api.arasaac.org/api/pictograms/en/search/bucket,
27,Fahrrad,Fahrrad,bicycle,API-Kandidat – visuell prüfen,6935,Fahrrad,Fahrrad | Velo,https://static.arasaac.org/pictograms/6935/6935_500.png,https://static.arasaac.org/pictograms/6935/6935_nocolor_500.png,https://arasaac.org/pictograms/6935,2277,Fahrrad,Fahrrad,https://static.arasaac.org/pictograms/2277/2277_500.png,https://static.arasaac.org/pictograms/2277/2277_nocolor_500.png,https://arasaac.org/pictograms/2277,https://api.arasaac.org/api/pictograms/de/search/Fahrrad,https://api.arasaac.org/api/pictograms/en/search/bicycle,
28,Gießkanne,Gießkanne,watering can,API-Kandidat – visuell prüfen,2817,Gießkanne,Gießkanne,https://static.arasaac.org/pictograms/2817/2817_500.png,https://static.arasaac.org/pictograms/2817/2817_nocolor_500.png,https://arasaac.org/pictograms/2817,,,,,,,https://api.arasaac.org/api/pictograms/de/search/Gie%C3%9Fkanne,https://api.arasaac.org/api/pictograms/en/search/watering%20can,
29,Hammer,Hammer,hammer,API-Kandidat – visuell prüfen,2922,Hammer,Hammer,https://static.arasaac.org/pictograms/2922/2922_500.png,https://static.arasaac.org/pictograms/2922/2922_nocolor_500.png,https://arasaac.org/pictograms/2922,2705,nail,nail | hammer,https://static.arasaac.org/pictograms/2705/2705_500.png,https://static.arasaac.org/pictograms/2705/2705_nocolor_500.png,https://arasaac.org/pictograms/2705,https://api.arasaac.org/api/pictograms/de/search/Hammer,https://api.arasaac.org/api/pictograms/en/search/hammer,
30,Helm,Helm,helmet,API-Kandidat – visuell prüfen,2691,Helm,Helm,https://static.arasaac.org/pictograms/2691/2691_500.png,https://static.arasaac.org/pictograms/2691/2691_nocolor_500.png,https://arasaac.org/pictograms/2691,21518,Helm,Helm | Feuerwehrhelm,https://static.arasaac.org/pictograms/21518/21518_500.png,https://static.arasaac.org/pictograms/21518/21518_nocolor_500.png,https://arasaac.org/pictograms/21518,https://api.arasaac.org/api/pictograms/de/search/Helm,https://api.arasaac.org/api/pictograms/en/search/helmet,
31,Kamm,Kamm,comb,API-Kandidat – visuell prüfen,2852,Kamm,Kamm,https://static.arasaac.org/pictograms/2852/2852_500.png,https://static.arasaac.org/pictograms/2852/2852_nocolor_500.png,https://arasaac.org/pictograms/2852,28581,Kamm  ,Kamm  ,https://static.arasaac.org/pictograms/28581/28581_500.png,https://static.arasaac.org/pictograms/28581/28581_nocolor_500.png,https://arasaac.org/pictograms/28581,https://api.arasaac.org/api/pictograms/de/search/Kamm,https://api.arasaac.org/api/pictograms/en/search/comb,
32,Kerze,Kerze,candle,API-Kandidat – visuell prüfen,6242,Kerze,Kerze,https://static.arasaac.org/pictograms/6242/6242_500.png,https://static.arasaac.org/pictograms/6242/6242_nocolor_500.png,https://arasaac.org/pictograms/6242,23931,Altarkerze,Altarkerze | Kerze | Osterkerze,https://static.arasaac.org/pictograms/23931/23931_500.png,https://static.arasaac.org/pictograms/23931/23931_nocolor_500.png,https://arasaac.org/pictograms/23931,https://api.arasaac.org/api/pictograms/de/search/Kerze,https://api.arasaac.org/api/pictograms/en/search/candle,
33,Lineal,Lineal,ruler,API-Kandidat – visuell prüfen,2815,Lineal,Lineal,https://static.arasaac.org/pictograms/2815/2815_500.png,https://static.arasaac.org/pictograms/2815/2815_nocolor_500.png,https://arasaac.org/pictograms/2815,34065,Lineal und Zirkel,Lineal und Zirkel,https://static.arasaac.org/pictograms/34065/34065_500.png,https://static.arasaac.org/pictograms/34065/34065_nocolor_500.png,https://arasaac.org/pictograms/34065,https://api.arasaac.org/api/pictograms/de/search/Lineal,https://api.arasaac.org/api/pictograms/en/search/ruler,
34,Maus,Maus,computer mouse,API-Kandidat – visuell prüfen,2546,Maus,Maus,https://static.arasaac.org/pictograms/2546/2546_500.png,https://static.arasaac.org/pictograms/2546/2546_nocolor_500.png,https://arasaac.org/pictograms/2546,2820,Maus,Maus,https://static.arasaac.org/pictograms/2820/2820_500.png,https://static.arasaac.org/pictograms/2820/2820_nocolor_500.png,https://arasaac.org/pictograms/2820,https://api.arasaac.org/api/pictograms/de/search/Maus,https://api.arasaac.org/api/pictograms/en/search/computer%20mouse,
35,Maßband,Maßband,measuring tape,API-Kandidat – visuell prüfen,2913,Maßband,Maßband | Metermaß,https://static.arasaac.org/pictograms/2913/2913_500.png,https://static.arasaac.org/pictograms/2913/2913_nocolor_500.png,https://arasaac.org/pictograms/2913,2914,Maßband,Maßband | Metermaß,https://static.arasaac.org/pictograms/2914/2914_500.png,https://static.arasaac.org/pictograms/2914/2914_nocolor_500.png,https://arasaac.org/pictograms/2914,https://api.arasaac.org/api/pictograms/de/search/Ma%C3%9Fband,https://api.arasaac.org/api/pictograms/en/search/measuring%20tape,
36,Puzzle,Puzzle,jigsaw puzzle,API-Kandidat – visuell prüfen,2540,Puzzle,Puzzle,https://static.arasaac.org/pictograms/2540/2540_500.png,https://static.arasaac.org/pictograms/2540/2540_nocolor_500.png,https://arasaac.org/pictograms/2540,26403,Puzzle,Puzzle,https://static.arasaac.org/pictograms/26403/26403_500.png,https://static.arasaac.org/pictograms/26403/26403_nocolor_500.png,https://arasaac.org/pictograms/26403,https://api.arasaac.org/api/pictograms/de/search/Puzzle,https://api.arasaac.org/api/pictograms/en/search/jigsaw%20puzzle,
37,Radio,Radio,radio,API-Kandidat – visuell prüfen,26358,Radio,Radio,https://static.arasaac.org/pictograms/26358/26358_500.png,https://static.arasaac.org/pictograms/26358/26358_nocolor_500.png,https://arasaac.org/pictograms/26358,11354,Radio,Radio,https://static.arasaac.org/pictograms/11354/11354_500.png,https://static.arasaac.org/pictograms/11354/11354_nocolor_500.png,https://arasaac.org/pictograms/11354,https://api.arasaac.org/api/pictograms/de/search/Radio,https://api.arasaac.org/api/pictograms/en/search/radio,
38,Rucksack,Rucksack,backpack,API-Kandidat – visuell prüfen,2475,Rucksack,Rucksack,https://static.arasaac.org/pictograms/2475/2475_500.png,https://static.arasaac.org/pictograms/2475/2475_nocolor_500.png,https://arasaac.org/pictograms/2475,4696,Rucksack,Rucksack,https://static.arasaac.org/pictograms/4696/4696_500.png,https://static.arasaac.org/pictograms/4696/4696_nocolor_500.png,https://arasaac.org/pictograms/4696,https://api.arasaac.org/api/pictograms/de/search/Rucksack,https://api.arasaac.org/api/pictograms/en/search/backpack,
39,Schaufel,Schaufel,shovel,API-Kandidat – visuell prüfen,2867,Schaufel,Schaufel | Spaten,https://static.arasaac.org/pictograms/2867/2867_500.png,https://static.arasaac.org/pictograms/2867/2867_nocolor_500.png,https://arasaac.org/pictograms/2867,34543,Schaufel,Schaufel,https://static.arasaac.org/pictograms/34543/34543_500.png,https://static.arasaac.org/pictograms/34543/34543_nocolor_500.png,https://arasaac.org/pictograms/34543,https://api.arasaac.org/api/pictograms/de/search/Schaufel,https://api.arasaac.org/api/pictograms/en/search/shovel,
40,Schraubenzieher,Schraubenzieher,screwdriver,API-Kandidat – visuell prüfen,2736,Schraubendreher,Schraubendreher | Schraubenzieher,https://static.arasaac.org/pictograms/2736/2736_500.png,https://static.arasaac.org/pictograms/2736/2736_nocolor_500.png,https://arasaac.org/pictograms/2736,39587,electric screwdriver,electric screwdriver,https://static.arasaac.org/pictograms/39587/39587_500.png,https://static.arasaac.org/pictograms/39587/39587_nocolor_500.png,https://arasaac.org/pictograms/39587,https://api.arasaac.org/api/pictograms/de/search/Schraubenzieher,https://api.arasaac.org/api/pictograms/en/search/screwdriver,
41,Schubkarre,Schubkarre,wheelbarrow,API-Kandidat – visuell prüfen,5947,Schubkarre,Schubkarre,https://static.arasaac.org/pictograms/5947/5947_500.png,https://static.arasaac.org/pictograms/5947/5947_nocolor_500.png,https://arasaac.org/pictograms/5947,21502,wheelbarrow,wheelbarrow,https://static.arasaac.org/pictograms/21502/21502_500.png,https://static.arasaac.org/pictograms/21502/21502_nocolor_500.png,https://arasaac.org/pictograms/21502,https://api.arasaac.org/api/pictograms/de/search/Schubkarre,https://api.arasaac.org/api/pictograms/en/search/wheelbarrow,
42,Spiegel,Spiegel,mirror,API-Kandidat – visuell prüfen,8573,Handspiegel,Handspiegel | Spiegel,https://static.arasaac.org/pictograms/8573/8573_500.png,https://static.arasaac.org/pictograms/8573/8573_nocolor_500.png,https://arasaac.org/pictograms/8573,2385,Spiegel,Spiegel,https://static.arasaac.org/pictograms/2385/2385_500.png,https://static.arasaac.org/pictograms/2385/2385_nocolor_500.png,https://arasaac.org/pictograms/2385,https://api.arasaac.org/api/pictograms/de/search/Spiegel,https://api.arasaac.org/api/pictograms/en/search/mirror,
43,Säge,Säge,saw,API-Kandidat – visuell prüfen,2799,Säge,Säge,https://static.arasaac.org/pictograms/2799/2799_500.png,https://static.arasaac.org/pictograms/2799/2799_nocolor_500.png,https://arasaac.org/pictograms/2799,5586,Säge,Säge | Stichsäge,https://static.arasaac.org/pictograms/5586/5586_500.png,https://static.arasaac.org/pictograms/5586/5586_nocolor_500.png,https://arasaac.org/pictograms/5586,https://api.arasaac.org/api/pictograms/de/search/S%C3%A4ge,https://api.arasaac.org/api/pictograms/en/search/saw,
44,Tastatur,Tastatur,keyboard,API-Kandidat – visuell prüfen,2793,Tastatur,Tastatur,https://static.arasaac.org/pictograms/2793/2793_500.png,https://static.arasaac.org/pictograms/2793/2793_nocolor_500.png,https://arasaac.org/pictograms/2793,38209,Tastatur,"Tastatur | Schaltfläche ""Tastatur"" | Tastaturtaste",https://static.arasaac.org/pictograms/38209/38209_500.png,https://static.arasaac.org/pictograms/38209/38209_nocolor_500.png,https://arasaac.org/pictograms/38209,https://api.arasaac.org/api/pictograms/de/search/Tastatur,https://api.arasaac.org/api/pictograms/en/search/keyboard,
45,Würfel,Würfel,dice,API-Kandidat – visuell prüfen,2731,Würfel,Würfel,https://static.arasaac.org/pictograms/2731/2731_500.png,https://static.arasaac.org/pictograms/2731/2731_nocolor_500.png,https://arasaac.org/pictograms/2731,7128,Eis,Eis | Eiswürfel | Würfel,https://static.arasaac.org/pictograms/7128/7128_500.png,https://static.arasaac.org/pictograms/7128/7128_nocolor_500.png,https://arasaac.org/pictograms/7128,https://api.arasaac.org/api/pictograms/de/search/W%C3%BCrfel,https://api.arasaac.org/api/pictograms/en/search/dice,
46,Zange,Zange,pliers,API-Kandidat – visuell prüfen,2644,Zange,Zange,https://static.arasaac.org/pictograms/2644/2644_500.png,https://static.arasaac.org/pictograms/2644/2644_nocolor_500.png,https://arasaac.org/pictograms/2644,9088,Zange,Zange,https://static.arasaac.org/pictograms/9088/9088_500.png,https://static.arasaac.org/pictograms/9088/9088_nocolor_500.png,https://arasaac.org/pictograms/9088,https://api.arasaac.org/api/pictograms/de/search/Zange,https://api.arasaac.org/api/pictograms/en/search/pliers,
47,Zeitung,Zeitung,newspaper,API-Kandidat – visuell prüfen,7784,Zeitung,Zeitung | Nachrichten | Artikel | Schlagzeile,https://static.arasaac.org/pictograms/7784/7784_500.png,https://static.arasaac.org/pictograms/7784/7784_nocolor_500.png,https://arasaac.org/pictograms/7784,20117,Presse,Presse | Zeitung,https://static.arasaac.org/pictograms/20117/20117_500.png,https://static.arasaac.org/pictograms/20117/20117_nocolor_500.png,https://arasaac.org/pictograms/20117,https://api.arasaac.org/api/pictograms/de/search/Zeitung,https://api.arasaac.org/api/pictograms/en/search/newspaper,
48,Zollstock,Zollstock,folding ruler,API-Kandidat – visuell prüfen,2915,Zollstock,Zollstock | Messstab,https://static.arasaac.org/pictograms/2915/2915_500.png,https://static.arasaac.org/pictograms/2915/2915_nocolor_500.png,https://arasaac.org/pictograms/2915,2815,ruler,ruler,https://static.arasaac.org/pictograms/2815/2815_500.png,https://static.arasaac.org/pictograms/2815/2815_nocolor_500.png,https://arasaac.org/pictograms/2815,https://api.arasaac.org/api/pictograms/de/search/Zollstock,https://api.arasaac.org/api/pictograms/en/search/folding%20ruler,
49,Angel,Angel,fishing rod,API-Kandidat – visuell prüfen,5941,fishing rod,fishing rod | fishing pole,https://static.arasaac.org/pictograms/5941/5941_500.png,https://static.arasaac.org/pictograms/5941/5941_nocolor_500.png,https://arasaac.org/pictograms/5941,6592,angeln,angeln | fischen,https://static.arasaac.org/pictograms/6592/6592_500.png,https://static.arasaac.org/pictograms/6592/6592_nocolor_500.png,https://arasaac.org/pictograms/6592,https://api.arasaac.org/api/pictograms/de/search/Angel,https://api.arasaac.org/api/pictograms/en/search/fishing%20rod,
50,Arztkoffer,Arztkoffer,doctor bag,API-Kandidat – visuell prüfen,2930,Verbandskasten,Verbandskasten | Arztkoffer,https://static.arasaac.org/pictograms/2930/2930_500.png,https://static.arasaac.org/pictograms/2930/2930_nocolor_500.png,https://arasaac.org/pictograms/2930,38446,doctor,doctor,https://static.arasaac.org/pictograms/38446/38446_500.png,https://static.arasaac.org/pictograms/38446/38446_nocolor_500.png,https://arasaac.org/pictograms/38446,https://api.arasaac.org/api/pictograms/de/search/Arztkoffer,https://api.arasaac.org/api/pictograms/en/search/doctor%20bag,
