card_id,slot_01_id,slot_01_name,slot_01_file,slot_01_rot,slot_01_size,slot_02_id,slot_02_name,slot_02_file,slot_02_rot,slot_02_size,slot_03_id,slot_03_name,slot_03_file,slot_03_rot,slot_03_size,slot_04_id,slot_04_name,slot_04_file,slot_04_rot,slot_04_size,slot_05_id,slot_05_name,slot_05_file,slot_05_rot,slot_05_size,slot_06_id,slot_06_name,slot_06_file,slot_06_rot,slot_06_size,slot_07_id,slot_07_name,slot_07_file,slot_07_rot,slot_07_size,slot_08_id,slot_08_name,slot_08_file,slot_08_rot,slot_08_size,slot_09_id,slot_09_name,slot_09_file,slot_09_rot,slot_09_size
11,17,Seife,assets/images/arasaac/color/sym_17.png,-15,1.5,39,Schaufel,assets/images/arasaac/color/sym_39.png,5,1.7,26,Eimer,assets/images/arasaac/color/sym_26.png,-15,1.7,53,Karte,assets/images/arasaac/color/sym_53.png,-15,1.5,3,Bett,assets/images/arasaac/color/sym_03.png,0,2.05,62,Schläger,assets/images/arasaac/color/sym_62.png,-5,1.5,48,Zollstock,assets/images/arasaac/color/sym_48.png,-15,1.65,12,Messer,assets/images/arasaac/color/sym_12.png,5,1.8,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,-10,1.5
12,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,-10,1.45,47,Zeitung,assets/images/arasaac/color/sym_47.png,15,1.6,25,Computer,assets/images/arasaac/color/sym_25.png,-5,1.8,61,Schlafsack,assets/images/arasaac/color/sym_61.png,-10,1.55,40,Schraubenzieher,assets/images/arasaac/color/sym_40.png,-20,2.1,18,Stift,assets/images/arasaac/color/sym_18.png,15,1.5,4,Brille,assets/images/arasaac/color/sym_04.png,-20,1.6,11,Löffel,assets/images/arasaac/color/sym_11.png,15,1.6,54,Koffer,assets/images/arasaac/color/sym_54.png,10,1.6
13,51,Fernglas,assets/images/arasaac/color/sym_51.png,0,1.6,5,Buch,assets/images/arasaac/color/sym_05.png,10,1.7,33,Lineal,assets/images/arasaac/color/sym_33.png,5,1.6,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,0,1.45,42,Spiegel,assets/images/arasaac/color/sym_42.png,20,1.95,14,Regenschirm,assets/images/arasaac/color/sym_14.png,-20,1.55,60,Rollstuhl,assets/images/arasaac/color/sym_60.png,-15,1.7,32,Kerze,assets/images/arasaac/color/sym_32.png,-15,1.65,23,Zahnbürste,assets/images/arasaac/color/sym_23.png,15,1.55
14,34,Maus,assets/images/arasaac/color/sym_34.png,15,1.65,13,Pfanne,assets/images/arasaac/color/sym_13.png,-20,1.6,41,Schubkarre,assets/images/arasaac/color/sym_41.png,5,1.6,24,Bauklötze,assets/images/arasaac/color/sym_24.png,0,1.6,52,Fußballtor,assets/images/arasaac/color/sym_52.png,15,2.1,6,Decke,assets/images/arasaac/color/sym_06.png,0,1.6,59,Pfeife,assets/images/arasaac/color/sym_59.png,10,1.7,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,5,1.65,31,Kamm,assets/images/arasaac/color/sym_31.png,-10,1.5
15,21,Topf,assets/images/arasaac/color/sym_21.png,-15,1.65,16,Schüssel,assets/images/arasaac/color/sym_16.png,-5,1.65,7,Gabel,assets/images/arasaac/color/sym_07.png,-15,1.65,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,-15,1.4,35,Maßband,assets/images/arasaac/color/sym_35.png,0,2.05,30,Helm,assets/images/arasaac/color/sym_30.png,-5,1.5,49,Angel,assets/images/arasaac/color/sym_49.png,10,1.6,58,Mikrofon,assets/images/arasaac/color/sym_58.png,0,1.75,44,Tastatur,assets/images/arasaac/color/sym_44.png,5,1.55
16,29,Hammer,assets/images/arasaac/color/sym_29.png,10,1.6,8,Handtuch,assets/images/arasaac/color/sym_08.png,-20,1.6,43,Säge,assets/images/arasaac/color/sym_43.png,0,1.6,22,Trinkflasche,assets/images/arasaac/color/sym_22.png,20,1.4,66,Taschenmesser,assets/images/arasaac/color/sym_66.png,0,2.05,57,Lupe,assets/images/arasaac/color/sym_57.png,15,1.6,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,0,1.8,36,Puzzle,assets/images/arasaac/color/sym_36.png,-20,1.75,15,Schere,assets/images/arasaac/color/sym_15.png,0,1.5
17,42,Spiegel,assets/images/arasaac/color/sym_42.png,5,1.65,1,Ball,assets/images/arasaac/color/sym_01.png,-10,1.75,21,Topf,assets/images/arasaac/color/sym_21.png,20,1.6,62,Schläger,assets/images/arasaac/color/sym_62.png,10,1.5,36,Puzzle,assets/images/arasaac/color/sym_36.png,10,1.95,31,Kamm,assets/images/arasaac/color/sym_31.png,10,1.45,56,Krücke,assets/images/arasaac/color/sym_56.png,-15,1.75,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,5,1.6,11,Löffel,assets/images/arasaac/color/sym_11.png,0,1.6
18,32,Kerze,assets/images/arasaac/color/sym_32.png,15,1.65,12,Messer,assets/images/arasaac/color/sym_12.png,-10,1.75,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,-10,1.65,22,Trinkflasche,assets/images/arasaac/color/sym_22.png,0,1.55,35,Maßband,assets/images/arasaac/color/sym_35.png,-20,1.9,41,Schubkarre,assets/images/arasaac/color/sym_41.png,10,1.4,55,Kompass,assets/images/arasaac/color/sym_55.png,-5,1.65,61,Schlafsack,assets/images/arasaac/color/sym_61.png,-5,1.75,2,Besen,assets/images/arasaac/color/sym_02.png,-10,1.6
19,3,Bett,assets/images/arasaac/color/sym_03.png,-15,1.65,9,Kissen,assets/images/arasaac/color/sym_09.png,-10,1.6,23,Zahnbürste,assets/images/arasaac/color/sym_23.png,20,1.6,54,Koffer,assets/images/arasaac/color/sym_54.png,-20,1.6,44,Tastatur,assets/images/arasaac/color/sym_44.png,10,2.05,29,Hammer,assets/images/arasaac/color/sym_29.png,10,1.45,64,Stethoskop,assets/images/arasaac/color/sym_64.png,-20,1.6,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,-15,1.65,34,Maus,assets/images/arasaac/color/sym_34.png,10,1.55
20,4,Brille,assets/images/arasaac/color/sym_04.png,5,1.6,10,Lampe,assets/images/arasaac/color/sym_10.png,0,1.6,43,Säge,assets/images/arasaac/color/sym_43.png,10,1.65,63,Seil,assets/images/arasaac/color/sym_63.png,10,1.4,53,Karte,assets/images/arasaac/color/sym_53.png,0,2.1,30,Helm,assets/images/arasaac/color/sym_30.png,-20,1.5,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,15,1.75,24,Bauklötze,assets/images/arasaac/color/sym_24.png,0,1.75,33,Lineal,assets/images/arasaac/color/sym_33.png,-10,1.6
21,58,Mikrofon,assets/images/arasaac/color/sym_58.png,-5,1.5,15,Schere,assets/images/arasaac/color/sym_15.png,0,1.6,17,Seife,assets/images/arasaac/color/sym_17.png,-20,1.6,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,20,1.55,27,Fahrrad,assets/images/arasaac/color/sym_27.png,5,1.9,52,Fußballtor,assets/images/arasaac/color/sym_52.png,5,1.6,5,Buch,assets/images/arasaac/color/sym_05.png,-5,1.7,40,Schraubenzieher,assets/images/arasaac/color/sym_40.png,-5,1.8,46,Zange,assets/images/arasaac/color/sym_46.png,0,1.65
22,16,Schüssel,assets/images/arasaac/color/sym_16.png,0,1.6,28,Gießkanne,assets/images/arasaac/color/sym_28.png,20,1.65,6,Decke,assets/images/arasaac/color/sym_06.png,-5,1.65,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,5,1.45,51,Fernglas,assets/images/arasaac/color/sym_51.png,10,2.05,18,Stift,assets/images/arasaac/color/sym_18.png,15,1.45,57,Lupe,assets/images/arasaac/color/sym_57.png,10,1.7,45,Würfel,assets/images/arasaac/color/sym_45.png,-10,1.65,39,Schaufel,assets/images/arasaac/color/sym_39.png,-5,1.55
23,7,Gabel,assets/images/arasaac/color/sym_07.png,-20,1.6,13,Pfanne,assets/images/arasaac/color/sym_13.png,10,1.8,25,Computer,assets/images/arasaac/color/sym_25.png,10,1.75,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,0,1.6,48,Zollstock,assets/images/arasaac/color/sym_48.png,10,1.9,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,20,1.55,19,Tasse,assets/images/arasaac/color/sym_19.png,-10,1.7,60,Rollstuhl,assets/images/arasaac/color/sym_60.png,0,1.7,38,Rucksack,assets/images/arasaac/color/sym_38.png,5,1.6
24,59,Pfeife,assets/images/arasaac/color/sym_59.png,-10,1.5,37,Radio,assets/images/arasaac/color/sym_37.png,-10,1.6,26,Eimer,assets/images/arasaac/color/sym_26.png,20,1.8,8,Handtuch,assets/images/arasaac/color/sym_08.png,15,1.55,67,Thermoskanne,assets/images/arasaac/color/sym_67.png,0,1.9,47,Zeitung,assets/images/arasaac/color/sym_47.png,10,1.4,49,Angel,assets/images/arasaac/color/sym_49.png,5,1.75,20,Teller,assets/images/arasaac/color/sym_20.png,15,1.75,14,Regenschirm,assets/images/arasaac/color/sym_14.png,0,1.65
25,40,Schraubenzieher,assets/images/arasaac/color/sym_40.png,-20,1.65,12,Messer,assets/images/arasaac/color/sym_12.png,-20,1.8,59,Pfeife,assets/images/arasaac/color/sym_59.png,20,1.6,45,Würfel,assets/images/arasaac/color/sym_45.png,20,1.4,30,Helm,assets/images/arasaac/color/sym_30.png,-15,2.0,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,10,1.6,68,Turnmatte,assets/images/arasaac/color/sym_68.png,-15,1.7,23,Zahnbürste,assets/images/arasaac/color/sym_23.png,-20,1.8,1,Ball,assets/images/arasaac/color/sym_01.png,5,1.45
26,39,Schaufel,assets/images/arasaac/color/sym_39.png,0,1.6,11,Löffel,assets/images/arasaac/color/sym_11.png,-15,1.6,68,Turnmatte,assets/images/arasaac/color/sym_68.png,15,1.75,49,Angel,assets/images/arasaac/color/sym_49.png,0,1.45,29,Hammer,assets/images/arasaac/color/sym_29.png,10,1.9,2,Besen,assets/images/arasaac/color/sym_02.png,20,1.55,46,Zange,assets/images/arasaac/color/sym_46.png,-20,1.6,24,Bauklötze,assets/images/arasaac/color/sym_24.png,0,1.65,60,Rollstuhl,assets/images/arasaac/color/sym_60.png,10,1.45
27,68,Turnmatte,assets/images/arasaac/color/sym_68.png,-15,1.5,3,Bett,assets/images/arasaac/color/sym_03.png,20,1.6,32,Kerze,assets/images/arasaac/color/sym_32.png,20,1.7,57,Lupe,assets/images/arasaac/color/sym_57.png,-15,1.6,38,Rucksack,assets/images/arasaac/color/sym_38.png,0,2.1,47,Zeitung,assets/images/arasaac/color/sym_47.png,-5,1.4,10,Lampe,assets/images/arasaac/color/sym_10.png,10,1.8,52,Fußballtor,assets/images/arasaac/color/sym_52.png,5,1.6,21,Topf,assets/images/arasaac/color/sym_21.png,5,1.6
28,51,Fernglas,assets/images/arasaac/color/sym_51.png,-15,1.65,68,Turnmatte,assets/images/arasaac/color/sym_68.png,15,1.75,31,Kamm,assets/images/arasaac/color/sym_31.png,-15,1.6,37,Radio,assets/images/arasaac/color/sym_37.png,-20,1.5,22,Trinkflasche,assets/images/arasaac/color/sym_22.png,20,2.0,58,Mikrofon,assets/images/arasaac/color/sym_58.png,20,1.6,9,Kissen,assets/images/arasaac/color/sym_09.png,20,1.8,48,Zollstock,assets/images/arasaac/color/sym_48.png,-10,1.75,4,Brille,assets/images/arasaac/color/sym_04.png,-20,1.5
29,41,Schubkarre,assets/images/arasaac/color/sym_41.png,-5,1.45,68,Turnmatte,assets/images/arasaac/color/sym_68.png,5,1.65,26,Eimer,assets/images/arasaac/color/sym_26.png,-5,1.75,54,Koffer,assets/images/arasaac/color/sym_54.png,-15,1.4,63,Seil,assets/images/arasaac/color/sym_63.png,15,1.9,36,Puzzle,assets/images/arasaac/color/sym_36.png,15,1.45,19,Tasse,assets/images/arasaac/color/sym_19.png,10,1.75,5,Buch,assets/images/arasaac/color/sym_05.png,15,1.75,16,Schüssel,assets/images/arasaac/color/sym_16.png,15,1.65
30,15,Schere,assets/images/arasaac/color/sym_15.png,20,1.5,68,Turnmatte,assets/images/arasaac/color/sym_68.png,-15,1.8,53,Karte,assets/images/arasaac/color/sym_53.png,-20,1.7,25,Computer,assets/images/arasaac/color/sym_25.png,-5,1.4,42,Spiegel,assets/images/arasaac/color/sym_42.png,10,2.05,20,Teller,assets/images/arasaac/color/sym_20.png,20,1.4,6,Decke,assets/images/arasaac/color/sym_06.png,0,1.7,64,Stethoskop,assets/images/arasaac/color/sym_64.png,5,1.6,35,Maßband,assets/images/arasaac/color/sym_35.png,-15,1.45
31,61,Schlafsack,assets/images/arasaac/color/sym_61.png,15,1.45,68,Turnmatte,assets/images/arasaac/color/sym_68.png,10,1.65,14,Regenschirm,assets/images/arasaac/color/sym_14.png,20,1.6,56,Krücke,assets/images/arasaac/color/sym_56.png,0,1.45,34,Maus,assets/images/arasaac/color/sym_34.png,-15,2.1,7,Gabel,assets/images/arasaac/color/sym_07.png,15,1.6,28,Gießkanne,assets/images/arasaac/color/sym_28.png,-5,1.6,17,Seife,assets/images/arasaac/color/sym_17.png,20,1.6,43,Säge,assets/images/arasaac/color/sym_43.png,5,1.65
32,27,Fahrrad,assets/images/arasaac/color/sym_27.png,0,1.6,68,Turnmatte,assets/images/arasaac/color/sym_68.png,5,1.6,33,Lineal,assets/images/arasaac/color/sym_33.png,-10,1.7,62,Schläger,assets/images/arasaac/color/sym_62.png,5,1.5,18,Stift,assets/images/arasaac/color/sym_18.png,0,2.05,44,Tastatur,assets/images/arasaac/color/sym_44.png,10,1.5,13,Pfanne,assets/images/arasaac/color/sym_13.png,-10,1.8,55,Kompass,assets/images/arasaac/color/sym_55.png,-15,1.65,8,Handtuch,assets/images/arasaac/color/sym_08.png,5,1.6
33,32,Kerze,assets/images/arasaac/color/sym_32.png,-5,1.45,20,Teller,assets/images/arasaac/color/sym_20.png,10,1.8,54,Koffer,assets/images/arasaac/color/sym_54.png,15,1.8,39,Schaufel,assets/images/arasaac/color/sym_39.png,20,1.5,43,Säge,assets/images/arasaac/color/sym_43.png,15,1.95,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,10,1.55,1,Ball,assets/images/arasaac/color/sym_01.png,20,1.6,13,Pfanne,assets/images/arasaac/color/sym_13.png,-20,1.65,58,Mikrofon,assets/images/arasaac/color/sym_58.png,0,1.6
34,2,Besen,assets/images/arasaac/color/sym_02.png,-10,1.65,44,Tastatur,assets/images/arasaac/color/sym_44.png,-5,1.7,53,Karte,assets/images/arasaac/color/sym_53.png,0,1.65,40,Schraubenzieher,assets/images/arasaac/color/sym_40.png,5,1.55,57,Lupe,assets/images/arasaac/color/sym_57.png,15,1.9,31,Kamm,assets/images/arasaac/color/sym_31.png,15,1.55,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,10,1.75,14,Regenschirm,assets/images/arasaac/color/sym_14.png,-10,1.65,19,Tasse,assets/images/arasaac/color/sym_19.png,15,1.45
35,15,Schere,assets/images/arasaac/color/sym_15.png,-20,1.65,3,Bett,assets/images/arasaac/color/sym_03.png,20,1.8,18,Stift,assets/images/arasaac/color/sym_18.png,0,1.8,37,Radio,assets/images/arasaac/color/sym_37.png,-20,1.45,56,Krücke,assets/images/arasaac/color/sym_56.png,20,2.1,60,Rollstuhl,assets/images/arasaac/color/sym_60.png,20,1.6,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,-15,1.65,30,Helm,assets/images/arasaac/color/sym_30.png,-20,1.75,41,Schubkarre,assets/images/arasaac/color/sym_41.png,0,1.6
36,29,Hammer,assets/images/arasaac/color/sym_29.png,20,1.45,4,Brille,assets/images/arasaac/color/sym_04.png,-5,1.6,55,Kompass,assets/images/arasaac/color/sym_55.png,10,1.8,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,-10,1.4,38,Rucksack,assets/images/arasaac/color/sym_38.png,-10,2.1,17,Seife,assets/images/arasaac/color/sym_17.png,15,1.45,16,Schüssel,assets/images/arasaac/color/sym_16.png,0,1.6,42,Spiegel,assets/images/arasaac/color/sym_42.png,0,1.7,59,Pfeife,assets/images/arasaac/color/sym_59.png,-20,1.5
37,5,Buch,assets/images/arasaac/color/sym_05.png,20,1.55,28,Gießkanne,assets/images/arasaac/color/sym_28.png,-15,1.8,24,Bauklötze,assets/images/arasaac/color/sym_24.png,0,1.65,62,Schläger,assets/images/arasaac/color/sym_62.png,20,1.55,47,Zeitung,assets/images/arasaac/color/sym_47.png,15,2.1,35,Maßband,assets/images/arasaac/color/sym_35.png,15,1.4,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,-20,1.65,9,Kissen,assets/images/arasaac/color/sym_09.png,-20,1.7,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,-5,1.5
38,36,Puzzle,assets/images/arasaac/color/sym_36.png,-10,1.6,49,Angel,assets/images/arasaac/color/sym_49.png,15,1.8,27,Fahrrad,assets/images/arasaac/color/sym_27.png,-5,1.7,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,-10,1.4,23,Zahnbürste,assets/images/arasaac/color/sym_23.png,-5,1.9,61,Schlafsack,assets/images/arasaac/color/sym_61.png,-5,1.45,10,Lampe,assets/images/arasaac/color/sym_10.png,0,1.65,48,Zollstock,assets/images/arasaac/color/sym_48.png,-5,1.75,6,Decke,assets/images/arasaac/color/sym_06.png,-10,1.45
39,22,Trinkflasche,assets/images/arasaac/color/sym_22.png,-15,1.5,33,Lineal,assets/images/arasaac/color/sym_33.png,-20,1.75,52,Fußballtor,assets/images/arasaac/color/sym_52.png,-20,1.6,7,Gabel,assets/images/arasaac/color/sym_07.png,15,1.55,45,Würfel,assets/images/arasaac/color/sym_45.png,-5,2.05,26,Eimer,assets/images/arasaac/color/sym_26.png,-20,1.45,64,Stethoskop,assets/images/arasaac/color/sym_64.png,-10,1.8,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,-5,1.65,11,Löffel,assets/images/arasaac/color/sym_11.png,0,1.5
40,8,Handtuch,assets/images/arasaac/color/sym_08.png,20,1.5,63,Seil,assets/images/arasaac/color/sym_63.png,20,1.8,46,Zange,assets/images/arasaac/color/sym_46.png,-5,1.75,51,Fernglas,assets/images/arasaac/color/sym_51.png,10,1.4,25,Computer,assets/images/arasaac/color/sym_25.png,20,2.05,21,Topf,assets/images/arasaac/color/sym_21.png,5,1.45,34,Maus,assets/images/arasaac/color/sym_34.png,-20,1.7,69,Verkehrsschild,assets/images/arasaac/color/sym_69.png,20,1.65,12,Messer,assets/images/arasaac/color/sym_12.png,-5,1.65
41,14,Regenschirm,assets/images/arasaac/color/sym_14.png,-10,1.45,48,Zollstock,assets/images/arasaac/color/sym_48.png,20,1.7,35,Maßband,assets/images/arasaac/color/sym_35.png,0,1.65,18,Stift,assets/images/arasaac/color/sym_18.png,-20,1.5,70,Wanderstock,assets/images/arasaac/color/sym_70.png,-5,1.9,52,Fußballtor,assets/images/arasaac/color/sym_52.png,15,1.4,63,Seil,assets/images/arasaac/color/sym_63.png,10,1.75,1,Ball,assets/images/arasaac/color/sym_01.png,-20,1.8,29,Hammer,assets/images/arasaac/color/sym_29.png,0,1.55
42,64,Stethoskop,assets/images/arasaac/color/sym_64.png,0,1.65,17,Seife,assets/images/arasaac/color/sym_17.png,5,1.6,36,Puzzle,assets/images/arasaac/color/sym_36.png,0,1.7,70,Wanderstock,assets/images/arasaac/color/sym_70.png,10,1.6,13,Pfanne,assets/images/arasaac/color/sym_13.png,15,1.9,51,Fernglas,assets/images/arasaac/color/sym_51.png,-10,1.55,30,Helm,assets/images/arasaac/color/sym_30.png,5,1.75,2,Besen,assets/images/arasaac/color/sym_02.png,0,1.65,47,Zeitung,assets/images/arasaac/color/sym_47.png,15,1.65
43,3,Bett,assets/images/arasaac/color/sym_03.png,-15,1.5,33,Lineal,assets/images/arasaac/color/sym_33.png,-20,1.8,46,Zange,assets/images/arasaac/color/sym_46.png,-10,1.7,70,Wanderstock,assets/images/arasaac/color/sym_70.png,-15,1.55,61,Schlafsack,assets/images/arasaac/color/sym_61.png,10,1.95,31,Kamm,assets/images/arasaac/color/sym_31.png,10,1.45,50,Arztkoffer,assets/images/arasaac/color/sym_50.png,-20,1.65,20,Teller,assets/images/arasaac/color/sym_20.png,0,1.6,16,Schüssel,assets/images/arasaac/color/sym_16.png,-15,1.55
44,32,Kerze,assets/images/arasaac/color/sym_32.png,20,1.55,19,Tasse,assets/images/arasaac/color/sym_19.png,-15,1.7,15,Schere,assets/images/arasaac/color/sym_15.png,-15,1.65,49,Angel,assets/images/arasaac/color/sym_49.png,-20,1.4,45,Würfel,assets/images/arasaac/color/sym_45.png,-20,2.0,70,Wanderstock,assets/images/arasaac/color/sym_70.png,-5,1.55,4,Brille,assets/images/arasaac/color/sym_04.png,0,1.65,34,Maus,assets/images/arasaac/color/sym_34.png,20,1.6,62,Schläger,assets/images/arasaac/color/sym_62.png,-20,1.65
